Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9635935167442563,0.017815987979879926,0.5060340384555269,0.4616425545140195,20.834016094083868,0.5788607147314253
2,1.0036298977023494,0.010687190196918744,0.7528319347223806,0.7560510768739557,21.893460077988017,0.6256630033994243
3,1.0010154734910839,0.009881157638310226,0.5920992888412336,0.5846472105605034,21.690048796168526,0.6441170008426165
4,0.9999649528459331,0.009643108433071715,0.00014878730567719368,1.705772091837785e-05,21.616466044018768,0.6506642612532108
5,1.0000002639079035,0.0093839747663542,9.851604750774573e-07,1.2453297268043537e-06,22.23940386932689,0.6525688862409035
6,0.999999865232593,0.009001719609374258,1.0614168358858407e-06,9.300440466220379e-07,22.361027884379652,0.6532786244589047
7,0.9999999079275015,0.008985886693345223,1.3232875611923821e-06,1.232710188039447e-06,22.355859653320866,0.6545418675102457
8,0.9999997169954064,0.00875606325171761,1.5453078235446222e-06,1.2625087829655912e-06,22.679582447309727,0.6630911066497329
9,0.9999998863944172,0.008570538612304668,1.1747667668426941e-06,1.0622598265982693e-06,22.592335270615965,0.6673337271961852
10,0.9999996823057931,0.008338710850789018,1.6551830741010056e-06,1.33826413380917e-06,22.420354870368023,0.6680453164560082
11,0.9999997887530176,0.008457924022255443,2.602868476492554e-06,2.3951968594177364e-06,22.881534231672074,0.6728932206126025
12,0.999999454004051,0.008493293550980352,3.2412248397907887e-06,2.708480642180528e-06,22.47056714641831,0.6712393872450738
13,1.000062934545995,0.00830406855003242,0.00029826783216069106,0.00029487276147285776,23.00461772931954,0.6741720281595731
14,0.9999938756938108,0.008178320370451377,0.00038095805189871897,0.0001381125169956439,22.475954114242597,0.6740362158439456
15,0.9999999981436997,0.008160259466609235,1.640402825442746e-08,1.6465451952499058e-08,23.032018269910242,0.674720083753558
16,0.999999995173619,0.008041595565676327,1.6965468859361754e-08,1.3232551403891677e-08,23.10283034238541,0.6766633731257307
17,0.9999999977724395,0.007959258349254329,1.9467248565804428e-08,1.7038520933095022e-08,22.943880766193505,0.6789126414669692
18,0.9999999966586594,0.00792657790614922,1.5103785309333334e-08,1.4058846430918277e-08,22.920178128414985,0.6814794102985493
19,0.9999999899759779,0.007836122002652018,2.9960384376432144e-08,2.254583443151449e-08,23.09707278432391,0.6784573073500264
20,0.9999999988862198,0.007945708356652672,1.5420541495188347e-08,1.5541983473457003e-08,22.9198506533034,0.6770846436276053
